time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-06 00:00:00+00:00,1,1,76.0,1.0
2024-03-07 00:00:00+00:00,4,4,1.0,1.0
2024-03-08 00:00:00+00:00,1,1,,
2024-03-09 00:00:00+00:00,1,1,,
2024-03-10 00:00:00+00:00,1,1,,
2024-03-11 00:00:00+00:00,2,2,,
2024-03-12 00:00:00+00:00,5,3,,
2024-03-13 00:00:00+00:00,2,2,14.0,2.0
2024-03-14 00:00:00+00:00,2,2,,
2024-03-15 00:00:00+00:00,3,3,9.0,1.0
2024-03-16 00:00:00+00:00,3,2,12.0,1.0
2024-03-17 00:00:00+00:00,1,1,1.0,1.0
2024-03-18 00:00:00+00:00,5,3,17.0,5.0
2024-03-19 00:00:00+00:00,3,1,,
